X,CH1,
Second,Volt,
1.1700001e-03,1.08000e+00,
1.1800000e-03,1.08000e+00,
1.1900001e-03,1.14000e+00,
1.2000001e-03,1.14000e+00,
1.2100001e-03,1.16000e+00,
1.2200001e-03,1.16000e+00,
1.2300001e-03,1.18000e+00,
1.2400001e-03,1.18000e+00,
1.2500001e-03,1.16000e+00,
1.2600000e-03,1.16000e+00,
1.2700001e-03,1.14000e+00,
1.2800001e-03,1.16000e+00,
1.2900000e-03,1.10000e+00,
1.3000001e-03,1.08000e+00,
1.3100001e-03,1.02000e+00,
1.3200000e-03,1.02000e+00,
1.3300001e-03,9.00000e-01,
1.3400001e-03,9.20000e-01,
1.3500000e-03,8.20000e-01,
1.3600001e-03,8.00000e-01,
1.3700001e-03,7.20000e-01,
1.3800001e-03,7.20000e-01,
1.3900001e-03,6.00000e-01,
1.4000001e-03,6.20000e-01,
1.4100001e-03,4.40000e-01,
1.4200001e-03,4.00000e-01,
1.4300001e-03,2.80000e-01,
1.4400001e-03,3.00000e-01,
1.4500001e-03,2.00000e-01,
1.4600001e-03,2.00000e-01,
1.4700001e-03,2.00000e-02,
1.4800001e-03,-2.00000e-02,
1.4900001e-03,-1.80000e-01,
1.5000001e-03,-1.60000e-01,
1.5100001e-03,-3.00000e-01,
1.5200000e-03,-3.00000e-01,
1.5300001e-03,-4.20000e-01,
1.5400001e-03,-4.80000e-01,
1.5500000e-03,-6.20000e-01,
1.5600001e-03,-6.20000e-01,
1.5700001e-03,-7.20000e-01,
1.5800002e-03,-7.20000e-01,
1.5900001e-03,-8.20000e-01,
1.6000001e-03,-8.80000e-01,
1.6100002e-03,-1.00000e+00,
1.6200001e-03,-9.60000e-01,
1.6300001e-03,-1.06000e+00,
1.6400001e-03,-1.06000e+00,
1.6500001e-03,-1.14000e+00,
1.6600001e-03,-1.16000e+00,
1.6700001e-03,-1.26000e+00,
1.6800001e-03,-1.24000e+00,
1.6900001e-03,-1.30000e+00,
1.7000001e-03,-1.30000e+00,
1.7100001e-03,-1.32000e+00,
1.7200001e-03,-1.34000e+00,
1.7300001e-03,-1.32000e+00,
1.7400001e-03,-1.32000e+00,
1.7500002e-03,-1.34000e+00,
1.7600001e-03,-1.34000e+00,
1.7700001e-03,-1.30000e+00,
1.7800002e-03,-1.30000e+00,
1.7900001e-03,-1.24000e+00,
1.8000001e-03,-1.26000e+00,
1.8100002e-03,-1.16000e+00,
1.8200001e-03,-1.18000e+00,
1.8300001e-03,-1.14000e+00,
1.8400002e-03,-1.10000e+00,
1.8500001e-03,-9.80000e-01,
1.8600001e-03,-9.80000e-01,
1.8700002e-03,-8.60000e-01,
1.8800001e-03,-9.00000e-01,
1.8900001e-03,-7.80000e-01,
